,PrecinctID,Yes,No,Ballots,Turnout,prop,PYes,PNo
101,7501,99,227,347,37.72,I,0.303680982,0.696319018
294,9219,143,328,492,35.94,I,0.303609342,0.696390658
291,9212,77,177,265,38.4,I,0.303149606,0.696850394
370,9714,136,319,472,53.75,I,0.298901099,0.701098901
165,7705,86,206,301,57.88,I,0.294520548,0.705479452
307,9241,106,254,375,42.86,I,0.294444444,0.705555556
159,7646,123,297,433,36.94,I,0.292857143,0.707142857
152,7637,108,263,384,40.08,I,0.291105121,0.708894879
374,9721,224,556,815,56.48,I,0.287179487,0.712820513
158,7645,78,195,271,47.38,I,0.285714286,0.714285714
155,7642,113,283,433,52.23,I,0.285353535,0.714646465
305,9238,175,455,642,41.02,I,0.277777778,0.722222222
290,9211,151,395,559,35.91,I,0.276556777,0.723443223
70,7208,141,370,533,52.41,I,0.27592955,0.72407045
375,9722,76,202,289,50.35,I,0.273381295,0.726618705
303,9232,167,449,643,45.73,I,0.271103896,0.728896104
298,9224,102,275,384,44.8,I,0.270557029,0.729442971
382,9731,176,479,679,55.79,I,0.26870229,0.73129771
306,9239,91,248,346,46.13,I,0.268436578,0.731563422
368,9712,92,252,355,58.68,I,0.26744186,0.73255814
297,9223,125,347,485,41.7,I,0.264830508,0.735169492
154,7641,173,489,685,42.05,I,0.261329305,0.738670695
288,9208,69,196,275,33.7,I,0.260377358,0.739622642
296,9222,148,422,601,41.79,I,0.259649123,0.740350877
381,9729,177,518,713,55.66,I,0.254676259,0.745323741
293,9215,58,170,243,42.19,I,0.254385965,0.745614035
292,9214,61,181,260,48.33,I,0.252066116,0.747933884
304,9234,163,487,665,44.75,I,0.250769231,0.749230769
301,9229,66,203,279,49.12,I,0.24535316,0.75464684
295,9221,77,237,321,55.06,I,0.24522293,0.75477707
300,9227,172,534,729,53.25,I,0.243626062,0.756373938
377,9725,201,629,866,49.31,I,0.242168675,0.757831325
384,9733,29,91,123,59.71,I,0.241666667,0.758333333
376,9723,55,177,241,57.52,I,0.237068966,0.762931034
379,9727,104,341,467,46.46,I,0.233707865,0.766292135
146,7627,79,260,356,36.43,I,0.233038348,0.766961652
309,9243,104,353,473,40.23,I,0.227571116,0.772428884
371,9715,60,206,269,50,I,0.22556391,0.77443609
289,9209,116,405,550,41.04,I,0.222648752,0.777351248
287,9206,141,502,666,39.84,I,0.219284603,0.780715397
145,7626,76,276,361,42.47,I,0.215909091,0.784090909
153,7638,78,298,389,44.05,I,0.207446809,0.792553191
